feature,importance_type,value
V1,weight,172.0
V2,weight,120.0
V3,weight,165.0
V4,weight,198.0
V5,weight,106.0
V6,weight,91.0
V7,weight,185.0
V8,weight,130.0
V9,weight,125.0
V10,weight,163.0
V11,weight,149.0
V12,weight,178.0
V13,weight,122.0
V14,weight,256.0
V15,weight,137.0
V16,weight,136.0
V17,weight,159.0
V18,weight,113.0
V19,weight,99.0
V20,weight,126.0
V21,weight,123.0
V22,weight,99.0
V23,weight,102.0
V24,weight,97.0
V25,weight,105.0
V26,weight,156.0
V27,weight,111.0
V28,weight,123.0
Amount,weight,116.0
V20_is_outlier,weight,6.0
V6_is_outlier,weight,1.0
V27_is_outlier,weight,13.0
V8_is_outlier,weight,9.0
hour_of_day,weight,148.0
day_of_week,weight,142.0
is_night,weight,17.0
is_business_hr,weight,51.0
hour_sin,weight,321.0
hour_cos,weight,201.0
log_amount,weight,104.0
amount_zscore,weight,74.0
amount_sqrt,weight,58.0
amount_bin,weight,56.0
is_high_value,weight,10.0
V1,gain,72.38935089111328
V2,gain,58.366233825683594
V3,gain,130.203369140625
V4,gain,309.9608459472656
V5,gain,53.46621322631836
V6,gain,39.92389678955078
V7,gain,87.02426147460938
V8,gain,219.45924377441406
V9,gain,83.3195571899414
V10,gain,1954.912353515625
V11,gain,56.747718811035156
V12,gain,724.1708374023438
V13,gain,138.10018920898438
V14,gain,2705.91748046875
V15,gain,66.18596649169922
V16,gain,28.04743766784668
V17,gain,284.66400146484375
V18,gain,113.82962036132812
V19,gain,128.39515686035156
V20,gain,98.33917999267578
V21,gain,75.56916809082031
V22,gain,42.67360305786133
V23,gain,49.446102142333984
V24,gain,30.248167037963867
V25,gain,31.7486515045166
V26,gain,79.29019927978516
V27,gain,29.50713539123535
V28,gain,34.738773345947266
Amount,gain,99.58248901367188
V20_is_outlier,gain,28.39898109436035
V6_is_outlier,gain,125.04037475585938
V27_is_outlier,gain,150.01300048828125
V8_is_outlier,gain,121.24581909179688
hour_of_day,gain,54.79658508300781
day_of_week,gain,401.2755432128906
is_night,gain,8.06836223602295
is_business_hr,gain,100.23821258544922
hour_sin,gain,56.233333587646484
hour_cos,gain,40.155296325683594
log_amount,gain,114.50157165527344
amount_zscore,gain,125.34895324707031
amount_sqrt,gain,102.79324340820312
amount_bin,gain,189.5681610107422
is_high_value,gain,45.488338470458984
V1,cover,777.7202758789062
V2,cover,327.5952453613281
V3,cover,1915.418701171875
V4,cover,2575.556640625
V5,cover,351.2707824707031
V6,cover,464.9310607910156
V7,cover,1974.19140625
V8,cover,2071.079833984375
V9,cover,1407.9256591796875
V10,cover,2605.497314453125
V11,cover,1796.56103515625
V12,cover,3359.816650390625
V13,cover,725.9357299804688
V14,cover,4587.0
V15,cover,415.10443115234375
V16,cover,666.417724609375
V17,cover,2272.855224609375
V18,cover,1013.2542724609375
V19,cover,1081.15234375
V20,cover,819.95654296875
V21,cover,459.84283447265625
V22,cover,429.08612060546875
V23,cover,628.3042602539062
V24,cover,748.1651000976562
V25,cover,286.7088317871094
V26,cover,402.72760009765625
V27,cover,288.1515808105469
V28,cover,242.74917602539062
Amount,cover,398.2479248046875
V20_is_outlier,cover,627.4501342773438
V6_is_outlier,cover,476.5929260253906
V27_is_outlier,cover,2738.179931640625
V8_is_outlier,cover,453.7935791015625
hour_of_day,cover,403.2991027832031
day_of_week,cover,1495.836181640625
is_night,cover,225.25668334960938
is_business_hr,cover,650.7377319335938
hour_sin,cover,795.6064453125
hour_cos,cover,300.6282043457031
log_amount,cover,1359.64599609375
amount_zscore,cover,1893.080810546875
amount_sqrt,cover,1327.5220947265625
amount_bin,cover,1319.764892578125
is_high_value,cover,160.28176879882812
